"ADGROUP_PERFORMANCE_REPORT (Jan 1, 2018-Jun 1, 2018)",,,,,,,,,,,,
Ad group,Default max. CPC,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,Search Impr. share,Search Exact match IS
Whey Protein,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Power System Simulation,190000000,1,8,12.50%,38440000,38440000,1.6,1,38440000,100.00%,72.73%,100.00%
Automotive Filters,115000000,2,98,2.04%,32260000,64520000,1.3,1,64520000,50.00%,77.17%,92.86%
Fetal Monitors,115000000,3,29,10.34%,42200000,126600000,1.4,0,0,0.00%,65.91%,50.00%
Peripherally Inserted Central Catheter,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Hazardous Drug Administration,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Ostomy Drainage Bags,190000000,0,1,0.00%,0,0,3,0,0,0.00%,33.33%,100.00%
Infusion Systems,190000000,0,10,0.00%,0,0,1.2,0,0,0.00%,66.67%,60.00%
Lithotripter Devices,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Osteoporosis,190000000,5,88,5.68%,99894000,499470000,1.7,0,0,0.00%,64.71%,75.00%
Multiparameter Patient Monitoring Devices,190000000,0,2,0.00%,0,0,2.5,0,0,0.00%,100.00%, --
Non-Invasive Blood Pressure Monitors,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Syringes and Needles,190000000,3,20,15.00%,34726667,104180000,1.7,0,0,0.00%,80.00%,100.00%
Neonatal Monitors,190000000,0,28,0.00%,0,0,1.1,0,0,0.00%,59.57%,50.00%
Incontinence Devices,190000000,1,15,6.67%,26640000,26640000,2.3,0,0,0.00%,75.00%,62.50%
Metered Dose Inhaler Devices,190000000,0,1,0.00%,0,0,1,0,0,0.00%,50.00%, --
Systemic Lupus Erythematosus,190000000,0,2,0.00%,0,0,1,0,0,0.00%,50.00%, --
Active Pharmaceutical Ingredients,115000000,1,33,3.03%,530000,530000,1.9,0,0,0.00%,80.49%,88.89%
Advanced Materials,190000000,14,211,6.64%,76642857,1073000000,1.6,0,0,0.00%,62.61%,61.54%
Aerosol Paints,190000000,1,22,4.55%,32150000,32150000,1.1,0,0,0.00%,88.00%,50.00%
Africa Autoclaved Aerated Concrete,115000000,1,28,3.57%,83140000,83140000,1.8,0,0,0.00%,80.00%,75.00%
Age Related Macular Degeneration,190000000,0,27,0.00%,0,0,1.3,0,0,0.00%,71.05%,< 10%
Agricultural Micronutrients,115000000,0,10,0.00%,0,0,1,0,0,0.00%,66.67%,66.67%
Anti Corrosion Coatings,115000000,0,37,0.00%,0,0,1.7,0,0,0.00%,68.52%,54.55%
Asia Pacific Compound Feed,190000000,0,1,0.00%,0,0,2,0,0,0.00%,100.00%,100.00%
Asia Pacific Adhesives and Sealants,190000000,1,3,33.33%,53250000,53250000,1,0,0,0.00%,42.86%,< 10%
Asia Pacific Aqua Feed,190000000,0,2,0.00%,0,0,1,0,0,0.00%,100.00%, --
Beta Glucan,190000000,9,88,10.23%,49748889,447740000,1.8,0,0,0.00%,77.19%,56.52%
Biopreservation,190000000,1,43,2.33%,119360000,119360000,1.2,0,0,0.00%,57.33%,59.46%
Cardiac Monitoring Devices,190000000,1,25,4.00%,182500000,182500000,1.6,0,0,0.00%,65.79%,100.00%
Clinical Trial Management System,190000000,1,20,5.00%,76850000,76850000,2.7,0,0,0.00%,55.88%,62.50%
Contact Adhesives,190000000,1,18,5.56%,146360000,146360000,2.4,0,0,0.00%,58.06%,75.00%
Crop Protection Chemicals,190000000,3,28,10.71%,74043333,222130000,1.4,0,0,0.00%,71.79%,40.00%
Endometriosis Drug,190000000,0,6,0.00%,0,0,2,0,0,0.00%,100.00%,100.00%
Feed Mycotoxin Detoxifiers,190000000,0,2,0.00%,0,0,1.5,0,0,0.00%,100.00%, --
Food Enzymes,190000000,4,51,7.84%,97120000,388480000,1.5,0,0,0.00%,66.23%,86.67%
Food Probiotics,115000000,5,141,3.55%,66410000,332050000,1.8,0,0,0.00%,51.09%, --
Frozen Bakery Products,190000000,3,25,12.00%,43113333,129340000,2.1,0,0,0.00%,75.76%,100.00%
Fungicides,115000000,12,366,3.28%,66166667,794000000,1.6,0,0,0.00%,84.22%,77.78%
Glaucoma Surgery Devices,190000000,0,0,0.00%,0,0,0,0,0,0.00%,< 10%, --
Gut And Digestive Health Ingredients,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Healthcare Analytics,115000000,7,268,2.61%,75512857,528590000,3.5,1,528590000,14.29%,41.61%,53.06%
High-Performance Alloys,190000000,0,13,0.00%,0,0,1.1,0,0,0.00%,76.47%,71.43%
"Jam, Jelly and Preserves",190000000,1,65,1.54%,73820000,73820000,1.4,0,0,0.00%,64.00%,100.00%
Lead Acid Battery Separator,190000000,0,0,0.00%,0,0,0,0,0,0.00%,< 10%, --
Lithium Ion Battery Separator,115000000,1,14,7.14%,72390000,72390000,1.4,0,0,0.00%,63.64%,100.00%
Low-Calorie Sweeteners,190000000,3,10,30.00%,54516667,163550000,1,0,0,0.00%,52.63%,75.00%
Macular Edema,190000000,2,16,12.50%,54745000,109490000,1.1,1.4,78207143,70.00%,72.73%,100.00%
Maize/Corn Seeds,190000000,2,13,15.38%,49360000,98720000,1.2,0,0,0.00%,68.42%,33.33%
Micronutrient Fertilizers,190000000,1,13,7.69%,119360000,119360000,1,0,0,0.00%,100.00%,100.00%
Mri Systems,190000000,1,25,4.00%,42890000,42890000,1.8,0,0,0.00%,51.02%,66.67%
Nickel Alloys,190000000,2,42,4.76%,135425000,270850000,1.6,0,0,0.00%,67.74%,81.82%
Nuclear Imaging,115000000,2,37,5.41%,54965000,109930000,1.4,0,0,0.00%,74.00%,62.50%
Oil Immersed Shunt Reactor,190000000,0,1,0.00%,0,0,1,0,0,0.00%,33.33%,< 10%
Polypropylene Battery Separator,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Portable X-ray Devices,190000000,0,2,0.00%,0,0,1,0,0,0.00%,100.00%, --
Pulp And Paper Chemicals,190000000,1,17,5.88%,34380000,34380000,1.7,0,0,0.00%,58.62%,66.67%
Respiratory Devices,190000000,8,172,4.65%,60621250,484970000,1.2,1,484970000,12.50%,75.11%,68.75%
Seed Coating Materials,190000000,1,11,9.09%,26940000,26940000,1.9,0,0,0.00%,91.67%,100.00%
Seed Treatment,115000000,4,131,3.05%,98765000,395060000,2,0,0,0.00%,71.20%,90.91%
Thermal Spray,115000000,3,88,3.41%,66353333,199060000,1.4,0,0,0.00%,75.86%,80.00%
Ultrasound Devices,115000000,3,62,4.84%,102583333,307750000,1.9,0,0,0.00%,67.39%,62.50%
Uveitis,115000000,3,38,7.89%,83243333,249730000,1.5,0,0,0.00%,79.17%,100.00%
Variable Shunt Reactor,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Wearable Medical Devices,190000000,8,81,9.88%,89316250,714530000,2.5,0,0,0.00%,58.27%,63.04%
Weight Management Supplements,115000000,0,223,0.00%,0,0,3.2,0,0,0.00%,70.35%, --
Fluoropolymers,115000000,3,82,3.66%,61206667,183620000,2.2,0,0,0.00%,68.91%,76.19%
Aerospace Coatings,190000000,3,68,4.41%,41326667,123980000,2.1,0,0,0.00%,66.67%,65.38%
Fluorochemicals,115000000,5,50,10.00%,34512000,172560000,1.3,0,0,0.00%,87.72%,93.75%
Airbag,115000000,1,35,2.86%,57320000,57320000,1.1,0,0,0.00%,56.45%,100.00%
Automotive Composite Materials,190000000,0,7,0.00%,0,0,1.3,0,0,0.00%,100.00%, --
Enteral Stenting Procedure,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Female Sterilization,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Gas turbine Distributed Energy,115000000,2,177,1.13%,53940000,107880000,1.3,0,0,0.00%,50.43%,66.67%
Industrial Distributed Energy Generation,190000000,1,33,3.03%,131330000,131330000,1.9,0,0,0.00%,54.10%,66.67%
Automotive Testing,115000000,8,77,10.39%,75226250,601810000,1.6,1,601810000,12.50%,82.80%,50.00%
Central Venous Catheters,115000000,6,50,12.00%,75425000,452550000,1.2,1,452550000,16.67%,74.63%,77.27%
Renal Dialysis,115000000,0,19,0.00%,0,0,1.5,0,0,0.00%,76.00%,45.45%
Dyslipidemia,115000000,4,33,12.12%,80347500,321390000,1,0,0,0.00%,64.71%,75.00%
Contact Lenses,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Meal Kit,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Paints and Coatings,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Molecular Diagnostics,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Construction Chemicals,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Veterinary Diagonistics,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
ECG,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Baby Food,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Circuit Breaker,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Defoamers,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Diesel Generator,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Medical Supplies And Equipments,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Medical Imaging,115000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Cardiac Biomakers,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Aluminium,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Rare Hematology,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Allergy Diagnostics,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Monoclonal Antibody Therapeutics,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Oil & Gas Cloud Application,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Cold Pressed Juices,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Hydraulic Recloser Controller,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
South America Soy Beverages,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Automotive Transmission,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Water Treatment Chemicals,75000000,5,101,4.95%,39218000,196090000,1.8,0,0,0.00%,63.12%,33.33%
Circuit Breaker,75000000,20,255,7.84%,56715500,1134310000,2,0,0,0.00%,47.22%,45.65%
Construction Chemicals,75000000,10,162,6.17%,37896000,378960000,2.1,0,0,0.00%,64.54%,43.40%
Molecular Diagnostics,75000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Bottled Water,75000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Contact Lenses,75000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Anti-Aging,75000000,11,201,5.47%,58199091,640190000,1.6,3,213396667,27.27%,59.64%,72.22%
Paints and Coatings,75000000,4,37,10.81%,47310000,189240000,1.9,0,0,0.00%,92.50%, --
Building Materials,10000000,8,137,5.84%,5562500,44500000,2.2,2,22250000,25.00%,34.86%,26.67%
Nutraceuticals,10000000,0,74,0.00%,0,0,2.3,0,0,0.00%,27.92%,10.00%
Stevia,10000000,5,72,6.94%,4138000,20690000,2.4,0,0,0.00%,44.35%,30.00%
Seeds,10000000,8,119,6.72%,6225000,49800000,1.8,0,0,0.00%,33.81%,20.00%
Power Generation,1000000,32,2946,1.09%,3390313,108490000,1.7,1,108490000,3.12%,15.49%,22.22%
Baby Food,25000000,8,73,10.96%,13995000,111960000,2.5,0,0,0.00%,22.86%,< 10%
Adhesives and Sealants,10000000,1,38,2.63%,2040000,2040000,3.2,0,0,0.00%,17.27%,33.33%
Meal Kit,25000000,0,19,0.00%,0,0,1.9,0,0,0.00%,22.35%,25.00%
Lubricants,10000000,11,156,7.05%,18590000,204490000,2.1,0,0,0.00%,46.85%,40.00%
Plastic,10000000,0,48,0.00%,0,0,3.4,0,0,0.00%,27.17%,38.89%
Renewable Energy,10000000,1,58,1.72%,19740000,19740000,2.6,0,0,0.00%,21.80%,29.41%
Yogurt,10000000,4,28,14.29%,7110000,28440000,2.1,1,28440000,25.00%,34.15%,20.00%
Companion Diagnostics,35000000,2,110,1.82%,23615000,47230000,3.2,0,0,0.00%,54.19%,43.59%
Biopharmaceuticals,35000000,7,175,4.00%,57591429,403140000,2,0,0,0.00%,38.63%,45.83%
Cosmetic Surgery,35000000,5,111,4.50%,28632000,143160000,2.1,0,0,0.00%,43.36%,64.71%
Medical Supplies And Equipments,35000000,13,180,7.22%,29778462,387120000,2.9,0,0,0.00%,37.42%,54.55%
Vegetable Seed,35000000,15,112,13.39%,19888667,298330000,1.7,1,298330000,6.67%,71.34%,85.71%
Functional Beverages,35000000,17,161,10.56%,32368824,550270000,1.6,1,550270000,5.88%,58.97%,78.33%
Advanced Driver Assistance Systems,45000000,4,70,5.71%,23080000,92320000,2.1,1,92320000,25.00%,55.12%,100.00%
Adjuvants,45000000,9,72,12.50%,34115556,307040000,2.1,1,307040000,11.11%,56.25%,55.56%
Oilfield Services,45000000,4,103,3.88%,22635000,90540000,2.6,1,90540000,25.00%,40.16%,26.09%
Agricultural Testing,45000000,0,27,0.00%,0,0,2.3,0,0,0.00%,41.54%,58.82%
Nutraceuticals,35000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Lithium,35000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Alcoholic Beverages,35000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Seeds,35000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Food Testing and Certification,35000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Plastic,35000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Bottled Water,35000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Renewable Energy,35000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Laundry Detergent,35000000,6,158,3.80%,21633333,129800000,2.3,0,0,0.00%,32.37%,50.00%
Veterinary Diagonistics,35000000,0,31,0.00%,0,0,3,0,0,0.00%,57.41%,85.71%
Contact Lenses,35000000,0,47,0.00%,0,0,2,0,0,0.00%,56.63%,55.56%
Lithium-Ion Battery,35000000,15,518,2.90%,24012000,360180000,2.3,0,0,0.00%,45.78%,55.80%
Sesame Seeds,35000000,16,160,10.00%,22090625,353450000,1.6,1,353450000,6.25%,59.55%,52.00%
Genetic Testing,35000000,7,347,2.02%,22650000,158550000,1.9,0,0,0.00%,38.90%,56.72%
Hydroponics,35000000,29,534,5.43%,24135517,699930000,2.1,3,233310000,10.34%,57.48%,70.31%
Cancer Monoclonal Antibodies,45000000,1,14,7.14%,26410000,26410000,2,0,0,0.00%,42.42%,45.45%
Sunflower Seeds,35000000,9,113,7.96%,35940000,323460000,1.5,0,0,0.00%,50.00%,57.89%
ECG,45000000,1,44,2.27%,28200000,28200000,2.3,0,0,0.00%,78.57%,100.00%
In-Vitro Diagnostics,35000000,1,48,2.08%,17130000,17130000,2.7,0,0,0.00%,65.75%,72.73%
Mammography,35000000,0,130,0.00%,0,0,2.1,0,0,0.00%,62.80%,62.50%
Trans Catheter Aortic Valve Replacement,190000000,0,6,0.00%,0,0,1.2,0,0,0.00%,100.00%,100.00%
Agricultural Chelates,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Preventive Vaccine,190000000,0,4,0.00%,0,0,2.5,0,0,0.00%,80.00%,100.00%
Diabetes Devices,115000000,9,165,5.45%,59507778,535570000,1.5,0,0,0.00%,76.39%,90.91%
Coconut Based Foods,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Cosmetic Surgery Equipments,190000000,0,5,0.00%,0,0,1,0,0,0.00%,100.00%,100.00%
Industrial Water Treatment,115000000,4,58,6.90%,80645000,322580000,1.8,0,0,0.00%,65.17%,55.56%
Medical Image Analysis Software,190000000,3,16,18.75%,68726667,206180000,2,0,0,0.00%,76.19%,85.71%
Medicinal Foods,190000000,3,37,8.11%,91743333,275230000,1.4,0,0,0.00%,64.91%,93.33%
Mobile C-Arms,115000000,0,28,0.00%,0,0,1.6,0,0,0.00%,77.78%,44.44%
Orthopaedic Devices,190000000,1,30,3.33%,71470000,71470000,1.1,1,71470000,100.00%,78.95%,75.00%
Population Health Management,115000000,1,56,1.79%,21900000,21900000,3.3,0,0,0.00%,33.14%,61.54%
Water Enhancers,115000000,2,385,0.52%,54415000,108830000,1.3,0,0,0.00%,48.12%,66.67%
Pharmaceutical Mass Flow Converter,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Brazil Diagnostic Imaging,190000000,0,5,0.00%,0,0,1,0,0,0.00%,100.00%,100.00%
Hemodialysis Equipment,115000000,0,5,0.00%,0,0,1,0,0,0.00%,83.33%, --
Gastric Balloon Procedures,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Philippines Contact Cement,190000000,0,13,0.00%,0,0,1,0,0,0.00%,86.67%,100.00%
Implantable Infusion Pumps,190000000,0,2,0.00%,0,0,2,0,0,0.00%,66.67%, --
Medical Imaging Information Systems,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Transdermal Drug Delivery Devices,190000000,1,2,50.00%,94190000,94190000,1,1,94190000,100.00%,100.00%, --
Acute Myeloid Leukaemia Therapeutics,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Agricultural Fumigants,190000000,0,2,0.00%,0,0,2,0,0,0.00%,100.00%,100.00%
Air Core Shunt Reactor,190000000,0,3,0.00%,0,0,1.7,0,0,0.00%,100.00%,100.00%
Ancient Grains,190000000,4,47,8.51%,103025000,412100000,1.3,0,0,0.00%,56.63%,83.33%
Battery Separator,115000000,7,77,9.09%,83958571,587710000,1.5,0,0,0.00%,72.64%,73.08%
Bio Pesticides,115000000,8,103,7.77%,75403750,603230000,1.9,0,0,0.00%,60.23%,53.85%
Bio Lubricants,190000000,2,40,5.00%,96740000,193480000,1.2,0,0,0.00%,76.92%,80.00%
Bio Surfactants,115000000,6,38,15.79%,72775000,436650000,2,0,0,0.00%,46.91%,61.54%
Bone Densitometers,115000000,1,23,4.35%,92930000,92930000,1.9,0,0,0.00%,76.67%,87.50%
Canada Aesthetic Devices,190000000,0,1,0.00%,0,0,2,0,0,0.00%,100.00%, --
Cataract Surgery Devices,190000000,0,10,0.00%,0,0,1.2,0,0,0.00%,50.00%,83.33%
Contrast Agents,190000000,4,72,5.56%,31472500,125890000,1.6,0,0,0.00%,67.29%,80.00%
Contrast Media Injectors,190000000,0,16,0.00%,0,0,1.3,0,0,0.00%,80.00%,83.33%
Commercial Distributed Power Generation,190000000,1,25,4.00%,139950000,139950000,2.2,0,0,0.00%,62.50%,80.00%
eHealth,115000000,24,248,9.68%,62171250,1492110000,2,4,373027500,16.67%,65.09%,68.57%
Endoscopy Devices,115000000,6,152,3.95%,96090000,576540000,1.5,0,0,0.00%,74.15%,68.00%
Feed Acidifiers,190000000,0,24,0.00%,0,0,1.4,0,0,0.00%,66.67%,80.00%
Feed Yeast,115000000,1,10,10.00%,166890000,166890000,1.8,0,0,0.00%,62.50%,25.00%
Fixed Shunt Reactor,190000000,0,1,0.00%,0,0,1,0,0,0.00%,100.00%,100.00%
Flat Glass,115000000,7,172,4.07%,59718571,418030000,1.5,0,0,0.00%,76.44%,66.67%
Food Sweeteners,190000000,0,36,0.00%,0,0,2.4,0,0,0.00%,55.38%,100.00%
Forage Seed,115000000,2,18,11.11%,31150000,62300000,1.4,0,0,0.00%,75.00%,75.00%
Freeze-Dried Food,115000000,9,144,6.25%,84017778,756160000,1.8,1,756160000,11.11%,58.54%,83.33%
Hospital Supplies,190000000,4,41,9.76%,65732500,262930000,1.5,0,0,0.00%,63.08%,83.33%
In-Vitro Toxicology Testing,190000000,0,37,0.00%,0,0,1.5,0,0,0.00%,69.81%,70.00%
Liquid Feed,190000000,1,15,6.67%,37030000,37030000,1.5,0,0,0.00%,88.24%,100.00%
Lubricant Additives,115000000,5,81,6.17%,86270000,431350000,1.8,0,0,0.00%,74.77%,79.17%
Maleic Anhydride,190000000,1,33,3.03%,73360000,73360000,1.9,0,0,0.00%,78.57%,83.33%
Medical Aesthetic Device,190000000,2,17,11.76%,79495000,158990000,2.6,1,158990000,50.00%,58.62%,80.00%
Naphthalene,190000000,2,18,11.11%,28605000,57210000,1.4,0,0,0.00%,69.23%,50.00%
Oncolytics Virus Therapy,190000000,1,16,6.25%,31810000,31810000,1.1,1,31810000,100.00%,66.67%,100.00%
Ophthalmic Diagnostic Equipments,190000000,2,8,25.00%,89415000,178830000,2,1,178830000,50.00%,63.64%,< 10%
Pediatric Clinical Trails,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Phytonutrients,190000000,0,14,0.00%,0,0,1.2,0,0,0.00%,66.67%,66.67%
Plant Bio-Stimulants,190000000,0,17,0.00%,0,0,1.2,0,0,0.00%,89.47%,100.00%
Polymer Emulsions,115000000,3,40,7.50%,50216667,150650000,2.1,0,0,0.00%,76.92%,90.00%
Polyvinyl Chloride,115000000,2,35,5.71%,56175000,112350000,1.4,0,0,0.00%,74.47%,85.71%
Precision Agriculture,115000000,12,171,7.02%,75611667,907340000,1.9,0,0,0.00%,70.66%,68.00%
Radiology Information System,190000000,1,15,6.67%,85110000,85110000,1.9,1,85110000,100.00%,78.95%,60.00%
Renal Biomarkers,190000000,0,1,0.00%,0,0,1,0,0,0.00%,100.00%,100.00%
Shunt Reactor,190000000,0,6,0.00%,0,0,1.3,0,0,0.00%,60.00%,80.00%
Silage Additives,190000000,1,15,6.67%,36360000,36360000,2.7,0,0,0.00%,83.33%,87.50%
Vendor Neutral Archive and PACS,115000000,5,17,29.41%,75998000,379990000,3.2,1,379990000,20.00%,68.00%,57.14%
Veterinary Vaccines,190000000,5,84,5.95%,58410000,292050000,1.9,1,292050000,20.00%,82.35%,88.89%
Vision Care Devices,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Water Treatment Equipment,115000000,4,59,6.78%,83955000,335820000,2,0,0,0.00%,71.08%,40.00%
Wound Care Management Devices,190000000,1,10,10.00%,65190000,65190000,1.4,0,0,0.00%,90.91%, --
Biopolymer,115000000,7,145,4.83%,42982857,300880000,2,0,0,0.00%,83.82%,92.00%
Protective Coatings,115000000,6,133,4.51%,47700000,286200000,1.7,0,0,0.00%,63.03%,68.75%
Barrier Resins,190000000,0,4,0.00%,0,0,1.3,0,0,0.00%,57.14%,66.67%
Automotive Foams,190000000,0,7,0.00%,0,0,1.3,0,0,0.00%,63.64%,66.67%
Foam Dressing,190000000,6,30,20.00%,60530000,363180000,1,0,0,0.00%,76.92%,81.82%
Hydrocolloids,115000000,6,64,9.38%,89730000,538380000,1.6,0,0,0.00%,77.11%,80.00%
Vehicle Diagnostics,190000000,4,35,11.43%,59672500,238690000,2.4,0,0,0.00%,68.63%,33.33%
Hardware Power Simulation,190000000,0,0,0.00%,0,0,0,0,0,0.00%, --, --
Power Line Communication,190000000,1,19,5.26%,177490000,177490000,1.8,0,0,0.00%,82.61%,100.00%
